277,Douglas Hall/John Ferguson/David
278,Hannon Fuller/Grierson
279,Jane Fuller/Natasha Molinaro
280,Jason Whitney/Jerry Ashton
281,Detective Larry McBain
282,Detective Zev Bernstein
283,Tom Jones
284,Joe
285,Jane's Lawyer
286,Ellen
287,Cop
288,Bellhop
289,Concierge
290,Natasha's Roommate
291,Chauffeur
292,Bridget Manilla
293,Bank Manager
294,Bank Customer
295,Honey Bear Girl
296,Chanteuse
297,30's Cop
298,Grierson's Wife
299,30's Limo Driver
300,Newspaper Boy
301,Singer
302,Choreographer
303,Security Guard
304,Bridget's Mom
305,Cab Driver
306,Bank Business Woman (uncredited)
307,Detective (uncredited)
308,R.J. MacReady
309,Childs
310,Dr. Blair
311,Garry
312,Dr. Copper
313,Norris
314,Nauls
315,Palmer
316,Bennings
317,Clark
318,Fuchs
319,Windows
320,Holly Martins
321,Anna Schmidt
322,Harry Lime
323,Major Calloway
324,Sergeant Paine
325,Porter
326,Popescu
327,Dr. Winkel
328,'Baron' Kurtz
329,Crabbin
330,Anna's Landlady
331,Porter's Wife
332,Waiter at Smolka's
333,Actress at Josefstadt Theater
334,Actor at Josefstadt Theater
335,Hänsel
336,Hänsel's Father
337,Waiter
338,Man on Street
339,Narrator
340,Florence Carala
341,Julien Tavernier
342,Louis
343,Véronique
344,Le Commissaire Cherrier
345,Horst Becker
346,Madame Becker
347,Simon Carala
348,Maurice
349,Geneviève
350,Cherriers Assistent
351,Christian Subervie
352,Le substitut du procureur
353,Le garagiste
354,Le président du conseil d'administration
355,Commissaire de police
356,Young Man at Motel
357,Jacqueline Mauclair
358,Anna
359,Le réceptionniste du motel
360,Un consommateur à la brasserie (uncredited)
361,Un consommateur à la brasserie (uncredited)
362,Un consommateur (uncredited)
363,Un policier au commissariat (uncredited)
364,Un inspecteur (uncredited)
365,Gaston (uncredited)
366,La fleuriste (uncredited)
367,Snake Plissken
368,Police Commissioner Bob Hauk
369,Cabbie
370,President of the United States
371,The Duke of New York
372,Harold 'Brain' Helman
373,Maggie
374,Rehme
375,Romero
376,Cronenberg
377,Girl in Chock Full O'Nuts
378,Secretary of State
379,Gypsy #1
380,Urgroßvater Janchiv
381,Urgroßmutter Chimed
382,Großvater Amgaa
383,Großmutter Zevel
384,Vater Ikchee
385,Mutter Odgoo
386,Älterer Bruder Dude
387,Jüngerer Bruder Ugna
388,Tochter Guntee
389,Musiklehrerin
390,Motorradfahrer
391,Nina
392,Toni
393,Regisseur Oliver
394,Francoise
395,Pierre
396,Kai
397,Heimleiterin
398,Mathias
399,Mutter von Mathias
400,Vorarbeiter
401,Agentin
402,Krankenschwester
403,Damien O'Donovan
404,Teddy
405,Dan
406,Sinead
407,Donnacha
408,Gogan
409,John Hamilton
410,Micheail
411,Julia
