Image_ID,Movie_ID,TV_ID,Poster_Path
1,1018,,/fMC8JBWx2VjsJ53JopAcFjqmlYv.jpg
2,1023,,/ysLgwV21cnoI9nkWIvdZWqJuwjE.jpg
3,1024,,/5ek49TUeqStPmKwNdxrCSUAdXNe.jpg
4,1039,,/39UvdRSdETUixSeQ86KI996e7J8.jpg
5,1040,,/ceSaasF8Dqbd8CxVKPvLBwbBxy4.jpg
6,1049,,/tTknufUur6nxMHEAR3iZ71kJXHt.jpg
7,1050,,/9a9csHTZRIMMnqx2z0H2kNvf6wa.jpg
8,1051,,/xwDi4wF0I1L5bSW08Y8GocDGjJP.jpg
9,1052,,/7zvq6rcS5VVmPDlciJbSFsmt1CL.jpg
10,1058,,/nBpXuTyhcqx2semf39zGXZl65H3.jpg
11,1059,,/qZmpnwqgMBJtVgiUqBdmFsdkW7m.jpg
12,1073,,/jMwDRI4qu5FrSAzf7BfNveuRVf9.jpg
13,1075,,NULL
14,1088,,/x6qMQ6LActtQSjuXidzuhqVW3AT.jpg
15,1089,,/zAt6vprHgkQCaQ5n6qwfXd4zAcD.jpg
16,1090,,/19XUd3YoAY2cwWJnutvq5VEtiIO.jpg
17,1091,,/s5fH3GqFcHbi2F0NSBSh4KRNTc0.jpg
18,1092,,/xsVmiQG7s2T0UIctSpDvpNv9CX5.jpg
19,1093,,/gwPV0aXkNyb33BcLTbYH6b1bxya.jpg
20,1103,,/z1KTbKJh7vSTTXllxxE4DWG63rT.jpg
21,1114,,/5CXTFjJvdZvdqoFJ2Y6nW6k2Zyv.jpg
22,1115,,/xN6BG1WJPOJgwQJ4SKlLZ1UYVct.jpg
23,1116,,/uLt7SpgPjfwkWqJpUk08xONISFZ.jpg
24,1123,,/3gra6N7DUNdac8iG44ozl8Rnh8H.jpg
25,1124,,/5MXyQfz8xUP3dIFPTubhTsbFY6N.jpg
26,1125,,/jrtyk21qp9oVHveellwoyp825q2.jpg
27,1126,,/6ZQUlZc3nNNfiRcPYqx6FE2piBO.jpg
28,1127,,/aHg2IOpslBZGiW7IipGCGmect00.jpg
29,1162,,/1Rk8UwvOI1ZSlbfhrNBu4J0Zlb7.jpg
30,1163,,/82fbnYZASQ6q9KCjNaXUCusuoou.jpg
31,1164,,/fxneN0EQZwTfAfhTGUvUuIn6PLi.jpg
32,1165,,/Ai8tz9c7Homb9mLg8baGhX1ABkR.jpg
33,1213,,/cTV9p4Pup3XLGYZ0aNJCF9c4GuL.jpg
34,1244,,/88JnouOmKWvk89lKasMdkZY47xE.jpg
