ID,Chacter1,Person1,Chacter2,Person2,Chacter3,Person3,Chacter4,Person4,Chacter5,Person5,Chacter6,Person6
1677,Ray Charles,Jamie Foxx,Della Bae Robinson,Kerry Washington,Margie Hendricks,Regina King,Joe Adams,Harry Lennix,Jeff Brown,Clifton Powell,Fathead Newman,Bokeem Woodbine
1678,Hideto Ogata,Akira Takarada,Emiko Yamane,Momoko Kôchi,Daisuke Serizawa-hakase,Akihiko Hirata,Kyohei Yamane-hakase,Takashi Shimura,Professor Tanabe,Fuyuki Murakami,Newspaper Reporter Hagiwara,Sachio Sakai
1679,Shoichi Tsukioka,Hiroshi Koizumi,Hidemi Yamaji,Setsuko Wakayama,Kôji Kobayashi,Minoru Chiaki,Kyohei Yamane-hakase,Takashi Shimura,Zoologist Dr. Tadokoro,Masao Shimizu,Captain Terasawa of Osaka Defense Corps,Seijirô Onda
1680,Osamu Sakurai,Tadao Takashima,Kazuo Fujita,Kenji Sahara,Kinsaburo Furue,Yû Fujiki,Mr. Tako,Ichirô Arishima,General Masami Shinzo,Jun Tazaki,Dr. Shigezawa,Akihiko Hirata
1682,News Reporter Ichiro Sakai,Akira Takarada,News Photographer Junko 'Yoka' Nakanishi,Yuriko Hoshi,Prof. Miura,Hiroshi Koizumi,Reporter Jiro Nakamura,Yû Fujiki,Shobijin (Twin Fairy),Emi Ito,Shobijin (Twin Fairy),Yûmi Ito
1683,Katherine,Hilary Swank,Doug,David Morrissey,Ben,Idris Elba,Loren McConnell,AnnaSophia Robb,Father Costigan,Stephen Rea,Maddie McConnell,Andrea Frankle
1684,herself,Klara Reinacher,herself,Mina Bowling,herself,Tanutscha Glowasz,himself,George-Daniel Thelitz,,,,
1685,Brent,James Franciscus,Dr. Zira,Kim Hunter,Dr. Zaius,Maurice Evans,Nova,Linda Harrison,Mendez,Paul Richards,Taylor,Charlton Heston
1686,Brigid Berlin - The Duchess,Brigid Berlin,Hanoi Hannah,Mary Woronov,Herself,Edie Sedgwick,Himself - Pope,Ondine,Transvestite,Mario Montez,Herself,Ingrid Superstar
1687,Cornelius,Roddy McDowall,Dr. Zira,Kim Hunter,Dr. Lewis Dixon,Bradford Dillman,Dr. Stephanie 'Stevie' Branton,Natalie Trundy,Dr. Otto Hasslein,Eric Braeden,The President,William Windom
1688,Caesar,Roddy McDowall,Breck,Don Murray,Zelda,Joyce Haber,Armando,Ricardo Montalban,Lisa,Natalie Trundy,MacDonald,Hari Rhodes
1689,Siddharta,Keanu Reeves,Lisa,Bridget Fonda,Dean,Chris Isaak,Lama Norbu,Ruocheng Ying,Jesse Conrad,Alex Wiesendanger,Raju,Raju Lal
1690,Paxton,Jay Hernandez,Josh,Derek Richardson,Oli,Eythor Gudjonsson,Natalya,Barbara Nedeljakova,Svetlana,Jana Kaderabkova,The Dutch Businessman,Jan Vlasák
1691,Beth,Lauren German,Whitney,Bijou Phillips,Lorna,Heather Matarazzo,Todd,Richard Burgi,Stuart,Roger Bart,Axelle,Vera Jordanova
1693,Adam,Eric Jungmann,Harley,Justin Urich,Sarah,Aimee Brooks,Monster Man,Michael Bailey Smith,Brother Fred,Joe Goodrich,Big Redneck,Tim Sitarz
1694,Herbert West,Jeffrey Combs,Dan Cain,Bruce Abbott,Megan Halsey,Barbara Crampton,Dr. Carl Hill,David Gale,Dean Alan Halsey,Robert Sampson,Dr. Harrod,Carolyn Purdy-Gordon
1696,Captain Spaulding / James Cutter,Sid Haig,Otis B. Driftwood,Bill Moseley,Baby Firefly / Vera-Ellen,Sheri Moon Zombie,Sheriff John Quincy Wydel,William Forsythe,Charlie Altamont,Ken Foree,Tiny Firefly,Matthew McGrory
1697,Sebastian,Markus Krojer,Lorenz,Fritz Karl,Veronika Dorstreiter,Jule Ronstedt,Alfred Dorstreiter,Jürgen Tonkel,Franz,Franz Xaver Brückner,Frau Kramer,Saskia Vester
1698,Paula,Franka Potente,Hein,Benno Fürmann,Gretchen,Anna Loos,Ludwig,Oliver Wnuk,Caspar,Sebastian Blomberg,Phil,Holger Speckhahn
1699,Jo Hauser,Barnaby Metschurat,Professor Müller-LaRousse,Herbert Knaup,Viktoria,Heike Makatsch,Hagen,Roman Knizka,Gregor,Wotan Wilke Möhring,Paula Henning,Franka Potente
1700,Paul Sheldon,James Caan,Annie Wilkes,Kathy Bates,Buster,Richard Farnsworth,Virginia,Frances Sternhagen,Marcia Sindell,Lauren Bacall,Libby,Graham Jarvis
1701,Cameron Poe,Nicolas Cage,Marshal Vince Larkin,John Cusack,Cyrus Grissom,John Malkovich,Nathan Jones,Ving Rhames,William Bedford,Nick Chinlund,Garland Greene,Steve Buscemi
1702,Hayden Cale,Ely Pouget,Jack Dante,Brad Dourif,John Carpenter,William Hootkins,Sam Raimi,John Sharian,Yutani,Martin McDougall,Weyland,Andreas Wisniewski
1705,Caesar,Roddy McDowall,Mandemus,Lew Ayres,Cornelius II,Bobby Porter,Mutant,Richard Eastham,Aldo,Claude Akins,Lisa,Natalie Trundy
1710,Helen Hudson,Sigourney Weaver,M.J. Monahan,Holly Hunter,Nico Letti,Will Patton,Peter Foley,William McNamara,Doryll Lee Cullum,Harry Connick Jr.,Lt. Quinn,J.E. Freeman
1711,Jake Peterson,Charlie Sheen,Paul DeLucca,Mark Dacascos,Bill Peterson,Martin Sheen,Wildog,Joe Lando,Steve,Bruce Nelson,Rebecca Peterson,Meredith Salenger
1712,Leslie Lynnton Benedict,Elizabeth Taylor,"Jordan ""Bick"" Benedict Jr.",Rock Hudson,Jett Rink,James Dean,Luz Benedict II,Carroll Baker,Vashti Synthe,Jane Withers,Uncle Bawley,Chill Wills
1713,Cyrus,Spike Lee,Angie Tucci,Annabella Sciorra,Lucinda Purify,Ruby Dee,Pauline Carbone,John Turturro,Mike Tucci,Frank Vincent,Lou Carbone,Anthony Quinn
1714,Guy Montag,Oskar Werner,Clarisse/Linda Montag,Julie Christie,The Captain,Cyril Cusack,Book Lady,Bee Duffell,Man with the Apple,Jeremy Spenser,Machiavelli,Michael Balfour
1715,Homer Wells,Tobey Maguire,Candy Kendall,Charlize Theron,Arthur Rose,Delroy Lindo,Lt. Wally Worthington,Paul Rudd,Dr. Wilbur Larch,Michael Caine,Nurse Edna,Jane Alexander
1716,Marion Steiner,Catherine Deneuve,Bernard Granger,Gérard Depardieu,Jean-Loup Cottins,Jean Poiret,Arlette Guillaume,Andréa Ferréol,Germaine Fabre,Paulette Dubost,Daxiat,Jean-Louis Richard
1717,Willie Stark,Sean Penn,Jack Burden,Jude Law,Anne Stanton,Kate Winslet,Tiny Duffy,James Gandolfini,Sadie Burke,Patricia Clarkson,Adam Stanton,Mark Ruffalo
1718,Jeb Stuart,Errol Flynn,Kit Carson Holliday,Olivia de Havilland,Tex Bell,Alan Hale,George Custer,Ronald Reagan,Martin,John Litel,Rader,Van Heflin
1719,Nicole,Françoise Dorléac,Pierre Lachenay,Jean Desailly,Franca Lachenay,Nelly Benedetti,Clément,Daniel Ceccaldi,Ingrid,Laurence Badie,Directeur cinéma Reims,Philippe Dumat
1720,Nói Kristmundsson,Tómas Lemarquis,B. Kristmundsson,Þröstur Leó Gunnarsson,Íris Óskarsdóttir,Elín Hansdóttir,Óskar Halldórsson,Hjalti Rögnvaldsson,Priester,Pétur Einarsson,,
1721,Saluds Brother,Alexander Allerson,Salud,Bud Spencer,Plata,Terence Hill,Matto,Cyril Cusack,Mr. Ears,Reinhard Kolldehoff,Pilot,Carlos Muñoz
1722,Captain Antonio Corelli,Nicolas Cage,Pelagia,Penélope Cruz,Mandras,Christian Bale,Drosoula,Irene Papas,Mr. Stamatis,Gerasimos Skiadaressis,Mrs. Stamatis,Aspasia Kralli
1723,Howard Price,Woody Allen,Alfred Miller,Michael Murphy,Philip Sussman,Herschel Bernardi,Florenze Barrett,Andrea Marcovicci,Hecky Brown,Zero Mostel,Danny LaGattuta,Danny Aiello
1724,Bruce Banner / The Hulk,Edward Norton,Betty Ross,Liv Tyler,Emil Blonsky / Abomination,Tim Roth,"General Thaddeus ""Thunderbolt"" Ross / The Red Hulk",William Hurt,Dr. Samuel Sterns / The Leader,Tim Blake Nelson,Leonard Samson / Dr. Samson,Ty Burrell
1725,Maria,Natalie Wood,Tony,Richard Beymer,Riff,Russ Tamblyn,Anita,Rita Moreno,Bernardo,George Chakiris,Lieutenant Schrank,Simon Oakland
1726,Tony Stark / Iron Man,Robert Downey Jr.,"Lt. Col. James ""Rhodey"" Rhodes / War Machine",Terrence Howard,Obadiah Stane / Iron Monger,Jeff Bridges,"Virginia ""Pepper"" Potts",Gwyneth Paltrow,Christine Everhart,Leslie Bibb,Yinsen,Shaun Toub
1727,Rick Jarmin,Mel Gibson,Marianne Graves,Goldie Hawn,Rachel Varney,Joan Severance,Eugene Sorensen,David Carradine,Joe Weyburn,Stephen Tobolowsky,Marvin,Harry Caesar
1729,Old Hop/ Lu Yan,Jackie Chan,The Silent Monk/ The Monkey King,李连杰,Jason Tripitikas,Michael Angarano,Ni Chang,Li Bingbing,Jade Warlord,Collin Chou,Golden Sparrow,Liu Yifei
1730,Nikki Grace/Susan Blue,Laura Dern,Kingsley Stewart,Jeremy Irons,Devon Berk/Billy Side,Justin Theroux,Freddie Howard,Harry Dean Stanton,Piotrek Krol,Peter J. Lucas,Marilyn Levens,Diane Ladd
1731,Helen,Ashley Judd,David,Goran Visnjic,Julie,Alexia Fast,Mathilda,Lauren Lee Smith,John,David Nykl,Dr. Sherman,Alberta Watson
1732,Rudolf IV/Rudolf V/Sidney Frewin,Peter Sellers,Rupert,Stuart Wilson,Princess Flavia,Lynne Frederick,Countess Montparnasse,Elke Sommer,Count Montparnasse,Gregory Sierra,Mauban,Catherine Schell
1734,Richard O'Connell,Brendan Fraser,Evelyn Carnahan O'Connell/Princess Nefertiri,Rachel Weisz,Jonathan Carnahan,John Hannah,High Priest Imhotep,Arnold Vosloo,Ardeth Bay,Oded Fehr,Mathayus the Scorpion King,Dwayne Johnson
1735,Richard O'Connell,Brendan Fraser,Emperor Han,李连杰,Jonathan Carnahan,John Hannah,Evelyn O’Connell,Maria Bello,Alex O'Connell,Luke Ford,Zi Juan,Michelle Yeoh
1736,Junge Frau,Katja Brenner,Date von Markus,Patricia Aulitzky,Frank,David Baalcke,Thorsten,Matthias Bundschuh,Markus,Martin Butzke,Jens,Oliver Bürgin
1738,Cris Johnson / Frank Cadillac,Nicolas Cage,Special Agent Callie Ferris,Julianne Moore,"Elizabeth ""Liz"" Cooper",Jessica Biel,Mr. Smith,Thomas Kretschmann,Cavanaugh,Tory Kittles,Irv,Peter Falk
1739,Liesel,Germaine Damar,Maria,Carla Hagen,Gerhard,Carl Möhner,Scherzinger,Michl Lang,Mrs. Köstler,Gerty Godden,Draxltoni,Josef Egger
1740,Emilia,Heike Makatsch,Felix,Benno Fürmann,Annette,Alexandra Maria Lara,Boris,Jürgen Vogel,Charlotte,Nina Hoss,Dylan,Mehmet Kurtulus
1770,Michael Collins,Liam Neeson,Harry Roland,Aidan Quinn,Ned Broy,Stephen Rea,Eamon de Valera,Alan Rickman,Kitty Kiernan,Julia Roberts,Joe O`Reilly,Ian Hart
1771,Steve Rogers / Captain America,Chris Evans,Johann Schmidt / Red Skull,Hugo Weaving,Col. Chester Phillips,Tommy Lee Jones,Peggy Carter,Hayley Atwell,James Buchanan 'Bucky' Barnes / Winter Soilder,Sebastian Stan,Howard Stark,Dominic Cooper
1772,Nick Rinaldi,Vincent Spano,Yoyo,Stephen Mendillo,Joe Rinaldi,Tony Lo Bianco,Riggs,Chris Cooper,Bobby,Jace Alexander,Zip,Todd Graff
1773,Thomas Dickson,Walter Huston,Matt Brown,Pat O'Brien,Mrs. Phyllis Dickson,Kay Johnson,Helen,Constance Cummings,Cyril Cluett,Gavin Gordon,Ives,Arthur Hoyt
1774,Himself,Michael Moore,Herself - Random House Media Escort,Elaine Bly,Himself,Jim Czarnecki,Himself,Brian Danitz,,,,
1775,Sheriff Bud B. Boomer,John Candy,U.S. President,Alan Alda,Deputy Honey,Rhea Perlman,Stuart Smiley, National Security Advisor,Kevin Pollak,General Dick Panzer,Rip Torn,Roy Boy
1776,herself,Becky Fischer,himself,Mike Papantonio,Himself,Ted Haggard,Himself,Lou Engle,,,,
1777,himself,Michael Moore,himself (archive footage),George W. Bush,himself (archive footage),Ben Affleck,Himself (archive footage),Stevie Wonder,Himself - U.S. Vice President and Senate President (archive footage),Al Gore,Himself (archive footage),Saddam Hussein
1778,Narrator (voice),Paul Hough,Himself,The Lizard,Himself,Scar,Himself,Chaos,Himself,Heartless,,
1779,Himself,Michael Moore,himself,Roger B. Smith,Himself,Rhonda Britton,Hilmselt,Fred Ross,,,,
1781,Himself,Al Gore,(voice),Billy West,Himself (archive footage),Ronald Reagan,Himself (archive footage),George W. Bush,Himself (archive footage),George H. W. Bush,,
1782,Joseph Kay,John Malkovich,Nathan Del Amico,Romain Duris,Claire Del Amico,Evangeline Lilly,Jeremy,Reece Thompson,Anna,Pascale Bussières,Tracey,Sara Waisglass
1783,Ernest Gordon,Ciarán McMenamin,Campbell,Robert Carlyle,Reardon,Kiefer Sutherland,Ho,Sakae Kimura,Dusty,Mark Strong,Noguchi,Masayuki Yui
1785,Milou,Michel Piccoli,Camille,Miou-Miou,Georges,Michel Duchaussoy,Madame Vieuzac,Paulette Dubost,Lily,Harriet Walter,Grimaldi,Bruno Carette
1786,Julien Quentin,Gaspard Manesse,Jean Bonnet,Raphael Fejtö,Mme Quentin,Francine Racette,Père Jean,Philippe Morier-Genoud,François Quentin,Stanislas Carré de Malberg,Père Michel,François Berléand
1787,Paul Thomas,Jean-Louis Trintignant,Why,Jacqueline Sassard,Frédérique,Stéphane Audran,Violetta,Nane Germon,Bookseller,Serge Bento,Robègue,Henri Attal
1788,Ren McCormack,Kevin Bacon,Reverend Shaw Moore,John Lithgow,Vi Moore,Dianne Wiest,Willard Hewitt,Chris Penn,Ariel Moore,Lori Singer,Rusty,Sarah Jessica Parker
1789,Elliott Nash,Glenn Ford,Nell Nash,Debbie Reynolds,Sam Thorpe,John McGiver,Matilda,Doro Merande,Mrs. Chandler,Mabel Albertson,Marlow Edison,Carl Reiner
1790,Coke Beck,David Carradine,Jim Killan,Glenn Ford,Mace,J. D. Cannon,Leloopa,Barbara Hershey,Gus Sampson,Harry Townes,Madge McCloud,Carolyn Jones
1791,Erika Kohut,Isabelle Huppert,Mutter,Annie Girardot,Walter Klemmer,Benoît Magimel,Mrs. Schober,Susanne Lothar,Dr. Blonskij,Udo Samel,Anna Schober,Anna Sigalevitch
1792,Bob,Matt Damon,Walt,Greg Kinnear,April,Eva Mendes,May,Wen Yann Shih,Morty O'Reilly,Seymour Cassel,Officer Fraioli,Dane Cook
1793,Nora McPhae,Marsha Mason,Max Dugan,Jason Robards,Charley Lau,Charley Lau,Michael McPhae,Matthew Broderick,Pat,Mari Gorman,Brian Costello,Donald Sutherland
1802,Sophie,Sandrine Bonnaire,Jeanne,Isabelle Huppert,Georges Lelievre,Jean-Pierre Cassel,Catherine Lelievre,Jacqueline Bisset,Melinda,Virginie Ledoyen,Gilles,Valentin Merlet
1803,Molly 'Angel' Stewart,Donna Wilkes,Lt. Andrews,Cliff Gorman,Mosler,Susan Tyrrell,Mae,Dick Shawn,Kit Carson,Rory Calhoun,Lana,Graem McGavin
1807,Alex,Alex Frost,Eric,Eric Deulen,John McFarland,John Robinson,Elias,Elias McConnell,Jordan,Jordan Taylor,Carrie,Carrie Finklea
1808,Curt Wild,Ewan McGregor,Arthur Stuart,Christian Bale,Brian Slade,Jonathan Rhys Meyers,Female narrator (voice),Janet McTeer,Mandy Slade,Toni Collette,Jerry Devine,Eddie Izzard
1809,Sean Bateman,James Van Der Beek,Lauren Hynde,Shannyn Sossamon,Paul Denton,Ian Somerhalder,Lara,Jessica Biel,Kelly,Kate Bosworth,Harry,Jay Baruchel
1810,Emiliano Zapata,Marlon Brando,Josefa,Jean Peters,Eufemio Zapata,Anthony Quinn,Fernanfo,Joseph Wiseman,Don Nacio,Arnold Moss,Pancho Villa,Alan Reed
1811,Dark Smith,James Duval,Mel,Rachel True,Montgomery,Nathan Bexton,Kris, S&M Girl,Chiara Mastroianni,Kozy, S&M Girl,Debi Mazar
1812,Katherine,Tori Spelling,Gabriel,Christian Campbell,Mark,John Paul Pitoc,Rich,Brad Beyer,,,,
1813,Kevin Lomax,Keanu Reeves,John Milton,Al Pacino,Mary Ann Lomax,Charlize Theron,Eddie Barzoon,Jeffrey Jones,Alice Lomax,Judith Ivey,Christabella Andreoli,Connie Nielsen
1814,Frank Schröder,Peter Schneider,Theodor Schröder,Karl-Fred Müller,Anne Schröder,Gitta Schweighöfer,Henriette Wolf,Eva-Maria Hagen,Helmut Schröder,Clemens Deindl,Wigbert Wolf,Gerhard Olschewski
1815,Philip Marlowe,Robert Mitchum,Charlotte Sternwood,Sarah Miles,Camilla Sternwood,Candy Clark,Lash Cansino,Richard Boone,Agnes Lazelle,Joan Collins,Inspektor Carson,John Mills
1816,Zach,Michael Douglas,Sheila Bryant,Vicki Frederick,Judy Monroe,Janet Jones,Diana Morales,Yamil Borges,Connie Wong,Jan Gan Boyd,Larry,Terrence Mann
1817,Stu Shepard,Colin Farrell,Der Anrufer,Kiefer Sutherland,Captain Ed Ramey,Forest Whitaker,Kelly Shephard,Radha Mitchell,Pamela McFadden,Katie Holmes,Felicia,Paula Jai Parker
1818,Charlie Kohler/Edouard Saroyan,Charles Aznavour,Léna,Marie Dubois,Thérèse Saroyan,Nicole Berger,Clarisse,Michèle Mercier,Plyne,Serge Davri,Momo,Claude Mansard
1819,Molly,Kate Hudson,Dupree,Owen Wilson,Carl,Matt Dillon,Mr. Thompson,Michael Douglas,Neil,Seth Rogen,Annie,Amanda Detmer
1824,Henry Roth,Adam Sandler,Lucy Whitmore,Drew Barrymore,Ula,Rob Schneider,Doug Whitmore,Sean Astin,Alexa,Lusia Strus,Dr. Keats,Dan Aykroyd
1825,Lincoln Hawk,Sylvester Stallone,Jason Cutler,Robert Loggia,Bob Hurley,Rick Zumwalt,Michael Cutler/Michael Hawk,David Mendenhall,John Grizzly,Bruce Way,Harry Bosco,Sam Scarber
1826,Xavier Rousseau,Romain Duris,Wendy,Kelly Reilly,Martine,Audrey Tautou,Isabelle,Cécile De France,William,Kevin Bishop,Gérard,Olivier Saladin
1829,Adèle Hugo,Isabelle Adjani,Lt Albert Pinson,Bruce Robinson,Mrs. Saunders,Sylvia Marriott,The Bookseller,Joseph Blatchley,Mr. Saunders,Ruben Dorey,Hypnotist,Ivry Gitlis
1830,Yuri Orlov,Nicolas Cage,Ava Fontaine Orlov,Bridget Moynahan,Vitaly Orlov,Jared Leto,Jack Valentine,Ethan Hawke,Andre Baptiste Sr.,Eamonn Walker,Simeon Weisz,Ian Holm
1831,Abbie Reynolds,Madonna,Robert Whittaker,Rupert Everett,Ben Cooper,Benjamin Bratt,Sam,Malcolm Stumpf,Richard Whittaker,Josef Sommer,Annabel,Suzanne Krull
1832,Bartleby,Ben Affleck,Loki,Matt Damon,Bethany Sloane,Linda Fiorentino,Jay,Jason Mewes,Rufus,Chris Rock,Metatron,Alan Rickman
1833,Mark Cohen,Anthony Rapp,Roger Davis,Adam Pascal,Mimi Marquez,Rosario Dawson,Tom Collins,Jesse L. Martin,Angel Dumott Schunard,Wilson Jermaine Heredia,Maurenn Johnson,Idina Menzel
1834,Philip Marlowe,Dick Powell,Helen Grayle/Velma Valento,Claire Trevor,Ann Grayle,Anne Shirley,Mr. Grayle,Miles Mander,Moose Malloy,Mike Mazurki,Lindsay Marriott,Douglas Walton
1835,Philip Marlowe,Robert Mitchum,Mrs. Helen Grayle alias Velma,Charlotte Rampling,Mrs. Jessie Florian,Sylvia Miles,Detective Lt. Nulty,John Ireland,Laird Brunett,Anthony Zerbe,Billy Rolfe,Harry Dean Stanton
1836,Esther,Marina de Van,Vincent,Laurent Lucas,Sandrine,Léa Drucker,Daniel,Thibault de Montalembert,Henri,Marc Rioufol,La cliente,Dominique Reymond
1837,Marie,Anne Coesens,François,Michel Bompoil,Bill,Tony Todd,Paul,Quentin Rossi,Mère de Marie,Jacqueline Jehanneuf,Rémy,Aladin Reibel
1838,Schulleiter Lindum Svendsen,Bent Mejding,Freddie Svale,Anders W. Berthelsen,Frits Vater Peder,Jens Jørn Spottag,Frits Mutter Stine,Anne-Grethe Bjarup Riis,Iben,Sarah Juel Werner,Frits Johansen,Janus Dissing Rathke
1839,Juliette Troublette,Caroline Brunner,Cécilia,Anne Le Ny,Monsieur Troublette,Gérard Chaillou,Madame Troublette,Danielle Durou,Madame Trajet,Charlotte Clamens,Monsieur Trajet,Patrick Cartié
1840,Philip Marlowe,George Montgomery,Merle Davis,Nancy Guild,Mrs. Murdock,Florence Bates,Lt. Breez,Roy Roberts,Vannier,Fritz Kortner,Leslie Murdock,Conrad Janis
1841,Philip Marlowe,Robert Montgomery,Adrienne Fromsett,Audrey Totter,Lt. DeGarmot,Lloyd Nolan,Capt. Kane,Tom Tully,Derace Kingsby,Leon Ames,Mildreed Haveland,Jayne Meadows
1842,Narrator,Vern Stierman,Jim as Boy,Chuck Pierce Jr.,Jim as Adult,William Stumpp,Willie,Willie E. Smith,Himself,Lloyd Bowen,,
1843,Themselves,The Dandy Warhols,Themselves,The Brian Jonestown Massacre,Commentator,Genesis P-Orridge,Commentator,Adam Shore,,,,
1844,"Robert ""Mac"" MacDougal",Sean Connery,"Virginia ""Gin"" Baker",Catherine Zeta-Jones,Hector Cruz,Will Patton,Conrad Greene,Maury Chaykin,Aaron Thibadeaux,Ving Rhames,Haas,Kevin McNally
1845,Marion,Julie Delpy,Jack,Adam Goldberg,Lucas,Daniel Brühl,Mathieu,Adan Jodorowsky,Manu,Alexandre Nahon,Jeannot,Albert Delpy
1846,Philip Marlowe,James Garner,Mavis Wald,Gayle Hunnicutt,Lt. Christy French,Carroll O'Connor,Dolores Gonzáles,Rita Moreno,Orfamay Quest,Sharon Farrell,Mr. Cromwell,William Daniels
1847,Philip Marlowe,Elliott Gould,Eileen Wade,Nina van Pallandt,Roger Wade,Sterling Hayden,Marty Augustine,Mark Rydell,Harry,David Arkin,Morgan,Warren Berlinger
1848,Philip Marlowe,James Caan,Laura,Dina Meyer,Larry Victor,David Keith,Arnie Burns,Tom Bower,Clayton Blackstone,Brian Cox,Lipschultz,Michael Laskin
1849,Naturam Godse,Horst Buchholz,Superintendent Das,José Ferrer,Rani Metha,Valerie Gearon,Naryan Apte,Don Borisenko,P.K. Mussardi,Robert Morley,Sheila,Diane Baker
1850,Andy Kaufman/Tony Clifton,Jim Carrey,Lynne Margulies,Courtney Love,Jack Burns,Bob Zmuda,George Shapiro,Danny DeVito,Stanley Kaufman,Gerry Becker,Janice Kaufman,Leslie Lyles
1851,Capitain Nemo,José Ferrer,Prof. Cunningham,Burgess Meredith,Dr. Cook,Mel Ferrer,König Tabor,Horst Buchholz,Com, Tom Franklin,Tom Hallick,Tor
1852,John McLoughlin,Nicolas Cage,Donna McLoughlin,Maria Bello,Allison Jimeno,Maggie Gyllenhaal,Will Jimeno,Michael Peña,Dominick Pezzulo,Jay Hernandez,Officer Giraldi,Danny Nucci
1853,himself,Henry Darger,Henry Darger (voice),Larry Pine,Narrator/Vivian Girls (voice),Dakota Fanning,Voice,Frier McCollister,Voice,Wally Wingert,herself (neighbor),Mary O'Donnell
1854,Frantzen,Herbert Fleischmann,Jonny,Horst Buchholz,Frau Rösgen,Judy Winter,Frau Schulze,Inken Sommer,Monika Winkler,Hannelore Elsner,Ursula,Monika Lundi
1855,Miguel de Cervantes,Horst Buchholz,Giulia,Gina Lollobrigida,Hassan Bey,José Ferrer,Kardinal Acquaviva,Louis Jourdan,Rodrigo,Francisco Rabal,,
1857,Hot Rod/Rodimus Prime (voice),Judd Nelson,Optimus Prime (voice),Peter Cullen,Megatron/Soundwave/Rumble (voice),Frank Welker,Galvatron (voice),Leonard Nimoy,Unicron (voice),Orson Welles,Wreck-Gar (voice),Eric Idle
1858,Sam Witwicky,Shia LaBeouf,Captain Lennox,Josh Duhamel,Mikaela Banes,Megan Fox,Maggie Madsen,Rachael Taylor,USAF Master Sgt. Epps,Tyrese Gibson,John Keller,Jon Voight
1859,Sonderbeauftragte Genossin Ninotschka Yakushova,Greta Garbo,Graf Leon D'Algout,Melvyn Douglas,Swana,Ina Claire,Iranoff,Sig Ruman,Buljanoff,Felix Bressart,Kopalski,Alexander Granach
1860,Dymitr Mirga,Horst Buchholz,Wala Mirga,Didi Ramati,Roman Mirga,Piotr Polk,Zoya,Maya Ramati,Mara,Kasia Siwak,Rosa,Bettine Milne
1861,Elias,Adrián Castilla,Liberator,Sergio M. Castilla,,,,,,,,
1862,Dr. Lenz,Robert Freitag,Emerich Weber,Horst Buchholz,Joachim Lenz,Jacques Breuer,Sandy Mueller,Richard Thomas,Komansky,José Ferrer,Jesse Morell,Ute Christensen
1863,Antonio,Marcello Mastroianni,Giovanna,Sophia Loren,Mascha,Lyudmila Saveleva,Valentina,Galina Andreyeva,Ettore,Germano Longo,Mutter von Antonio,Anna Carena
1864,Baron de Choisis,Curd Jürgens,Harry England,Michael Crawford,Bentley,Peter Myers,Evelyne Rosson,Ira von Fürstenberg,Paul,Mike Marshall,Dany de Choisis,Geneviève Gilles
1865,Captain Jack Sparrow,Johnny Depp,Angelica Teach,Penélope Cruz,Captain Hector Barbossa,Geoffrey Rush,"Captain Edward ""Blackbeard"" Teach",Ian McShane,Joshamee Gibbs,Kevin McNally,Philip Swift,Sam Claflin
1868,Julien,Horst Buchholz,Jean,Georges Géret,Mutter,Claude Génia,Pedro,Jürgen Draeger,Ginette,Brigitte Grothum,Eddy,Jean-Pierre Moulin
1870,Fandor / Fantomas,Jean Marais,Commissaire Juve,Louis de Funès,Hélène,Mylène Demongeot,Inspecteur,Christian Toma,Bertrand,Jacques Dynam,Verleger,Robert Dalban
1871,Fandor / Fantômas,Jean Marais,Commissaire Juve,Louis de Funès,Hélène,Mylène Demongeot,Un inspecteur,Christian Toma,Inspecteur Bertrand,Jacques Dynam,Verleger,Robert Dalban
1872,Sadie Blake,Lucy Liu,Clyde Rawlins,Michael Chiklis,Eve,Carla Gugino,Bishop,James D'Arcy,Juan Ton,Marilyn Manson,Lloyd,Robert Forster
1873,Laura Bowman,Patricia Arquette,Andy Bowman,Frances McDormand,U Aung Ko,U Aung Ko,Jeremy Watt,Spalding Gray,San San, Hotel Desk Clerk,Tiara Jacquelina,Australian Doctor
1874,James Gregory,Joseph Fiennes,Nelson Mandela,Dennis Haysbert,Gloria Gregory,Diane Kruger,Brett Gregory,Shiloh Henderson,,Patrick Lyster,,
1875,Fantomas,Jean Marais,Kommissar Juve,Louis de Funès,Hélène,Mylène Demongeot,Lady Rashley,Françoise Christophe,Andre Berthier,Henri Serre,Bertrand,Jacques Dynam
1876,Lee Vaughan,Nick Bartlett,Charlie Howard,Patrick Micallef,Gina Blackwell,Jane Peachey,Mr. McClintock,Frank Jarvis,Daniella Funnell,Tara Keatley,,
1877,Dr. Mordrid,Jeffrey Combs,Kabal,Brian Thompson,Adrian,Keith Coulouris,Tony Gaudio,Jay Acovone,Gunner,Ritch Brinkley,Samantha Hunt,Yvette Nipar
1878,Raoul Duke,Johnny Depp,Dr. Gonzo / Oscar Z. Acosta,Benicio del Toro,Hitchhiker,Tobey Maguire,Lucy,Christina Ricci,Waitress at North Star Cafe,Ellen Barkin,Highway Patrolman,Gary Busey
1879,Matt Drayton,Spencer Tracy,Dr. John Wade Prentice,Sidney Poitier,Christina Drayton,Katharine Hepburn,Joanna Drayton,Katharine Houghton,Tillie,Isabel Sanford,Carhop,Alexandra Hay
