4884,2,2,4884,null,6.80E-05,21865,Gail Katz,null,,,
4884,2,2,4884,3/9/1954,1.05802,4180,Kevin Wade,Chappaqua - New York - USA,,,
4884,2,2,4884,7/1/1950,0.152703,59649,Michael Pressman,New York City - New York - USA,,,
4884,2,3,4884,null,1.830848,47915,Darren Star,,,,
4884,2,3,4884,null,6.80E-05,21865,Gail Katz,null,,,
4884,2,3,4884,3/9/1954,1.05802,4180,Kevin Wade,Chappaqua - New York - USA,,,
4884,2,3,4884,7/1/1950,0.152703,59649,Michael Pressman,New York City - New York - USA,,,
4885,1,1,4885,,0.001722,1584999,Marc A. Kahn,null,,,
4885,1,1,4885,3/17/1964,1.864973,2879,Rob Lowe,Charlottesville - Virginia - USA,,,
4885,1,1,4885,4/26/1931,3.20E-05,8859,Bernie Brillstein,null,,,
4885,1,1,4885,12/29/1957,1.00E-06,1298,Brad Grey,null,,,
4885,1,1,4885,null,0.0945,1220837,Remi Aubuchon,null,,,
4885,1,2,4885,,0.001722,1584999,Marc A. Kahn,null,,,
4885,1,2,4885,3/17/1964,1.864973,2879,Rob Lowe,Charlottesville - Virginia - USA,,,
4885,1,2,4885,4/26/1931,3.20E-05,8859,Bernie Brillstein,null,,,
4885,1,2,4885,12/29/1957,1.00E-06,1298,Brad Grey,null,,,
4885,1,2,4885,null,0.0945,1220837,Remi Aubuchon,null,,,
4885,1,3,4885,,0.001722,1584999,Marc A. Kahn,null,,,
4885,1,3,4885,3/17/1964,1.864973,2879,Rob Lowe,Charlottesville - Virginia - USA,,,
4885,1,3,4885,4/26/1931,3.20E-05,8859,Bernie Brillstein,null,,,
4885,1,3,4885,12/29/1957,1.00E-06,1298,Brad Grey,null,,,
4885,1,3,4885,null,0.0945,1220837,Remi Aubuchon,null,,,
4885,2,1,4885,,0.001722,1584999,Marc A. Kahn,null,,,
4885,2,1,4885,3/17/1964,1.864973,2879,Rob Lowe,Charlottesville - Virginia - USA,,,
4885,2,1,4885,4/26/1931,3.20E-05,8859,Bernie Brillstein,null,,,
4885,2,1,4885,12/29/1957,1.00E-06,1298,Brad Grey,null,,,
